Date,Roll CallNumber,BillNumber,Bill Title,Vote,Status,Period,Refresh Time,Member
2023-01-12,31,H. R. 22,Protecting Americaâs Strategic Petroleum Reserve from China Act,Yea,Passed,202301,2023-01-23 22:31:17,Lance Gooden
2023-01-11,30,H. Con. Res. 3,"Expressing the sense of Congress condemning the recent attacks on pro-life facilities, groups, and churches",Yea,Passed,202301,2023-01-23 22:31:17,Lance Gooden
2023-01-11,29,H. R. 26,Born-Alive Abortion Survivors Protection Act,Yea,Passed,202301,2023-01-23 22:31:17,Lance Gooden
2023-01-11,28,H. R. 26,Born-Alive Abortion Survivors Protection Act,Nay,Failed,202301,2023-01-23 22:31:17,Lance Gooden
2023-01-10,27,H. Res. 12,Establishing a Select Subcommittee on the Weaponization of the Federal Government as a select investigative subcommittee of the Committee on the Judiciary,Yea,Passed,202301,2023-01-23 22:31:17,Lance Gooden
2023-01-10,26,H. Res. 11,Establishing the Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party,Yea,Passed,202301,2023-01-23 22:31:17,Lance Gooden
2023-01-09,25,H. R. 23,Family and Small Business Taxpayer Protection Act,Yea,Passed,202301,2023-01-23 22:31:17,Lance Gooden
2023-01-09,24,H. R. 23,Family and Small Business Taxpayer Protection Act,Nay,Failed,202301,2023-01-23 22:31:17,Lance Gooden
2023-01-09,23,H. Res. 5,"Adopting the Rules of the House of Representatives for the One Hundred Eighteenth Congress, and for other purposes",Yea,Passed,202301,2023-01-23 22:31:17,Lance Gooden
2023-01-09,22,H. Res. 5,"Adopting the Rules of the House of Representatives for the One Hundred Eighteenth Congress, and for other purposes",Nay,Failed,202301,2023-01-23 22:31:17,Lance Gooden
2023-01-09,21,H. Res. 5,"Adopting the Rules of the House of Representatives for the One Hundred Eighteenth Congress, and for other purposes",Yea,Passed,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-07,20,,,McCarthy,McCarthy,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-06,19,ADJOURN,,Yea,Failed,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-06,18,,,McCarthy,McCarthy,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-06,17,ADJOURN,,Yea,Passed,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-06,16,,,McCarthy,McCarthy,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-06,15,,,McCarthy,McCarthy,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-05,14,ADJOURN,,Yea,Passed,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-05,13,,,McCarthy,Jeffries,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-05,12,,,McCarthy,Jeffries,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-05,11,,,McCarthy,Jeffries,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-05,10,,,McCarthy,Jeffries,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-05,9,,,McCarthy,Jeffries,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-04,8,ADJOURN,,Yea,Passed,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-04,7,,,McCarthy,Jeffries,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-04,6,,,McCarthy,Jeffries,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-04,5,,,McCarthy,Jeffries,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-03,4,,,McCarthy,Jeffries,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-03,3,,,McCarthy,Jeffries,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-03,2,,,McCarthy,Jeffries,202301,2023-01-23 22:31:18,Lance Gooden
2023-01-03,1,QUORUM,,Present,Passed,202301,2023-01-23 22:31:18,Lance Gooden
